Epoch,Bio_Acc,Rand_Acc
1,0.949999988079071,0.9833333492279053
2,0.8791666626930237,0.8666666746139526
3,0.8500000238418579,0.9083333611488342
4,0.8666666746139526,0.8500000238418579
5,0.8083333373069763,0.8583333492279053
6,0.5874999761581421,0.8291666507720947
7,0.7708333134651184,0.8791666626930237
8,0.8333333134651184,0.862500011920929
9,0.8958333134651184,0.8958333134651184
10,0.862500011920929,0.8791666626930237
11,0.875,0.8916666507720947
12,0.9125000238418579,0.9291666746139526
13,0.9083333611488342,0.7541666626930237
14,0.9291666746139526,0.9208333492279053
15,0.8125,0.800000011920929
