window,mean_f1,std_f1,mean_fpr,ci_low,ci_high
4,0.6782563310368229,0.00625415559336789,0.011755266031685183,0.6659981860738219,0.690514475999824
5,0.7100304516662259,0.0049330274131813975,0.012402990251166436,0.7003617179363903,0.7196991853960615
6,0.7165737987097046,0.010636113492833062,0.012888786914490672,0.6957270162637518,0.7374205811556575
7,0.7156353198985932,0.010621379087649669,0.01315867167686112,0.6948174168867999,0.7364532229103865
8,0.7125607026810618,0.011581925593733855,0.013229076610839765,0.6898601285173434,0.7352612768447802
9,0.7105574411465921,0.00904860244300732,0.012959188213442517,0.6928221803582978,0.7282927019348865
10,0.7119508704642095,0.006329218724127345,0.012668181235611692,0.6995456017649199,0.7243561391634991
12,0.7131633438762551,0.011400346943747742,0.012783177258153802,0.6908186638665096,0.7355080238860007
14,0.7106003390475903,0.0100533364980463,0.013186831667710683,0.6908957995114196,0.7303048785837611
15,0.7098248345433542,0.009434068751001085,0.01313520189500133,0.6913340597913921,0.7283156092953164
20,0.7221272978827149,0.00920355943053106,0.012165964197902626,0.704088321398874,0.7401662743665558
25,0.7145613037327495,0.004694170898084516,0.013245502602993288,0.7053607287725039,0.7237618786929951
